SCLK,LMST,LTST,PRESSURE,PRESSURE_UNCERTAINTY,TRANSDUCER
683051289,00182M00:02:31.778,0182 00:17:17,713.43,,1
683051290,00182M00:02:32.751,0182 00:17:18,713.43,,1
683051291,00182M00:02:33.725,0182 00:17:19,713.45,,1
683051292,00182M00:02:34.698,0182 00:17:20,713.45,,1
683051293,00182M00:02:35.671,0182 00:17:21,713.43,,1
683051294,00182M00:02:36.645,0182 00:17:22,713.45,,1
683051295,00182M00:02:37.618,0182 00:17:23,713.45,,1
683051296,00182M00:02:38.591,0182 00:17:24,713.41,,1
683051297,00182M00:02:39.564,0182 00:17:25,713.43,,1
683051298,00182M00:02:40.538,0182 00:17:26,713.38,,1
683051299,00182M00:02:41.511,0182 00:17:27,713.41,,1
683051300,00182M00:02:42.484,0182 00:17:28,713.43,,1
683051301,00182M00:02:43.457,0182 00:17:29,713.41,,1
683051302,00182M00:02:44.431,0182 00:17:30,713.39,,1
683051303,00182M00:02:45.404,0182 00:17:31,713.34,,1
683051304,00182M00:02:46.377,0182 00:17:32,713.41,,1
683051305,00182M00:02:47.350,0182 00:17:33,713.49,,1
683051306,00182M00:02:48.324,0182 00:17:34,713.41,,1
683051307,00182M00:02:49.297,0182 00:17:35,713.36,,1
683051308,00182M00:02:50.270,0182 00:17:36,713.38,,1
683051309,00182M00:02:51.243,0182 00:17:37,713.39,,1
683051310,00182M00:02:52.217,0182 00:17:38,713.41,,1
683051311,00182M00:02:53.190,0182 00:17:39,713.43,,1
683051312,00182M00:02:54.163,0182 00:17:40,713.41,,1
683051313,00182M00:02:55.136,0182 00:17:41,713.43,,1
683051314,00182M00:02:56.110,0182 00:17:42,713.39,,1
683051315,00182M00:02:57.083,0182 00:17:43,713.34,,1
683051316,00182M00:02:58.056,0182 00:17:44,713.39,,1
683051317,00182M00:02:59.029,0182 00:17:45,713.43,,1
683051318,00182M00:03:00.003,0182 00:17:46,713.41,,1
683051319,00182M00:03:00.976,0182 00:17:47,713.43,,1
683051320,00182M00:03:01.949,0182 00:17:48,713.45,,1
683051321,00182M00:03:02.922,0182 00:17:49,713.39,,1
683051322,00182M00:03:03.896,0182 00:17:50,713.39,,1
683051323,00182M00:03:04.869,0182 00:17:50,713.39,,1
